pr_id,repository_name,title_length,description_length,files_changed,lines_added,lines_deleted,time_to_merge,num_commits,is_bug_fix,num_comments,num_reviewers,merge_status,author_experience,author_tenure,author_contributions,review_time,num_approvals,review_sentiment_score,security_issues,code_quality_issues,number_of_line_of_code,average_number_of_lines_of_code,average_cyclomatic_complexity_number,average_token_count,function_count,warning_count,function_rate,number_of_line_of_code_rate
26003,opencv,27,717,1,5,1,,1,False,4,2,False,2,144.06666666666666,,41.58472222222222,0,0.0,"Checking C:\Users\user\AppData\Local\Temp\tmpsr2eh3fx.cpp ...
",No major code quality issues found.,1345.0,41.5,11.7,573.5,32.0,6.0,0.19,0.52
25996,opencv,25,843,2,27,3,7.1563888888888885,1,True,2,3,True,1604,143.86666666666667,,7.376666666666666,1,0.0,"Run started:2024-08-23 01:41:09.286201

Test results:
>> Issue: [B101:assert_used] Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
   Severity: Low   Confidence: High
   CWE: CWE-703 (https://cwe.mitre.org/data/definitions/703.html)
   More Info: https://bandit.readthedocs.io/en/1.7.9/plugins/b101_assert_used.html
   Location: C:\Users\user\AppData\Local\Temp\tmp8u076133.py:19:12
18	            cv.fillPoly(img, cnts, color)
19	            assert False
20	        except:

--------------------------------------------------
>> Issue: [B101:assert_used] Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
   Severity: Low   Confidence: High
   CWE: CWE-703 (https://cwe.mitre.org/data/definitions/703.html)
   More Info: https://bandit.readthedocs.io/en/1.7.9/plugins/b101_assert_used.html
   Location: C:\Users\user\AppData\Local\Temp\tmp8u076133.py:21:12
20	        except:
21	            assert True
22	Python

--------------------------------------------------

Code scanned:
	Total lines of code: 16
	Total lines skipped (#nosec): 0
	Total potential issues skipped due to specifically being disabled (e.g., #nosec BXXX): 0

Run metrics:
	Total issues (by severity):
		Undefined: 0
		Low: 2
		Medium: 0
		High: 0
	Total issues (by confidence):
		Undefined: 0
		Low: 0
		Medium: 0
		High: 2
Files skipped (0):

Checking C:\Users\user\AppData\Local\Temp\tmp7luq7qh5.cpp ...
","No major code quality issues found.
No major code quality issues found.",2328.0,36.2,8.2,320.0,57.0,9.0,0.16,0.49
25992,opencv,40,717,1,9,9,,1,False,3,0,False,0,24.933333333333334,,0.0,0,0.6791666666666667,"Checking C:\Users\user\AppData\Local\Temp\tmp6wc_69gk.cpp ...
",No major code quality issues found.,1345.0,41.5,11.7,573.5,32.0,6.0,0.19,0.52
25991,opencv,83,3516,1,46,10,3.4586111111111117,3,False,1,1,True,24,91.06666666666666,,2.383611111111111,1,0.0,"Checking C:\Users\user\AppData\Local\Temp\tmptu577rvj.cpp ...
Checking C:\Users\user\AppData\Local\Temp\tmptu577rvj.cpp: DEBUG_CHESSBOARD...
Checking C:\Users\user\AppData\Local\Temp\tmptu577rvj.cpp: DEBUG_CHESSBOARD;ENABLE_TRIM_COL_ROW...
Checking C:\Users\user\AppData\Local\Temp\tmptu577rvj.cpp: ENABLE_TRIM_COL_ROW...
",No major code quality issues found.,1689.0,47.5,13.0,345.0,34.0,9.0,0.26,0.67
25987,opencv,42,859,2,2,2,34.65361111111111,1,False,0,1,True,0,131.83333333333334,,34.64888888888889,1,0.0,"Checking C:\Users\user\AppData\Local\Temp\tmplh6xrqmx.cpp ...
Checking C:\Users\user\AppData\Local\Temp\tmplh6xrqmx.cpp: CV_SIMD128...
Checking C:\Users\user\AppData\Local\Temp\tmplh6xrqmx.cpp: HAVE_CANN...
Checking C:\Users\user\AppData\Local\Temp\tmplh6xrqmx.cpp: HAVE_CUDA...
Checking C:\Users\user\AppData\Local\Temp\tmplh6xrqmx.cpp: HAVE_DNN_NGRAPH...
Checking C:\Users\user\AppData\Local\Temp\tmplh6xrqmx.cpp: HAVE_HALIDE...
Checking C:\Users\user\AppData\Local\Temp\tmplh6xrqmx.cpp: HAVE_INF_ENGINE...
Checking C:\Users\user\AppData\Local\Temp\tmplh6xrqmx.cpp: HAVE_OPENCL...
Checking C:\Users\user\AppData\Local\Temp\tmplh6xrqmx.cpp: HAVE_WEBNN...

Checking C:\Users\user\AppData\Local\Temp\tmpov7gnk8y.cpp ...
Checking C:\Users\user\AppData\Local\Temp\tmpov7gnk8y.cpp: HAVE_CANN...
Checking C:\Users\user\AppData\Local\Temp\tmpov7gnk8y.cpp: HAVE_CUDA...
Checking C:\Users\user\AppData\Local\Temp\tmpov7gnk8y.cpp: HAVE_DNN_NGRAPH...
Checking C:\Users\user\AppData\Local\Temp\tmpov7gnk8y.cpp: HAVE_VULKAN...
","No major code quality issues found.
No major code quality issues found.",932.0,31.9,10.5,336.8,27.0,7.0,0.26,0.63
25979,opencv,57,838,2,146,4,96.85888888888888,1,True,5,2,True,1604,143.7,,330.8594444444444,1,0.0,"Checking C:\Users\user\AppData\Local\Temp\tmpx4525l6z.cpp ...
Checking C:\Users\user\AppData\Local\Temp\tmpx4525l6z.cpp: _DEBUG...

Checking C:\Users\user\AppData\Local\Temp\tmpx9rvqinw.cpp ...
","No major code quality issues found.
No major code quality issues found.",116.0,11.1,2.0,71.2,9.0,0.0,0.0,0.0
25968,opencv,26,1022,2,110,29,518.4466666666667,3,True,5,1,True,18,67.4,,966.2325,2,-0.5636363636363637,"Checking C:\Users\user\AppData\Local\Temp\tmpeq5kqjjv.cpp ...
Checking C:\Users\user\AppData\Local\Temp\tmpeq5kqjjv.cpp: CV_NEON;CV_SIMD128...
Checking C:\Users\user\AppData\Local\Temp\tmpeq5kqjjv.cpp: CV_SIMD128...

Checking C:\Users\user\AppData\Local\Temp\tmpaoqhvikb.cpp ...
","No major code quality issues found.
No major code quality issues found.",2553.0,16.7,4.0,173.6,142.0,7.0,0.05,0.26
25961,opencv,23,1792,17,17,17,81.09194444444445,1,False,0,1,True,1,109.46666666666668,,81.08944444444444,1,0.0,,"No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.
No major code quality issues found.",,,,,,,,
25959,opencv,46,837,1,6,5,290.46,2,False,1,1,True,1,132.26666666666668,,287.5111111111111,1,0.0,"Run started:2024-08-23 01:42:59.587990

Test results:
>> Issue: [B101:assert_used] Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
   Severity: Low   Confidence: High
   CWE: CWE-703 (https://cwe.mitre.org/data/definitions/703.html)
   More Info: https://bandit.readthedocs.io/en/1.7.9/plugins/b101_assert_used.html
   Location: C:\Users\user\AppData\Local\Temp\tmph63e4ds2.py:102:8
101	            sys.exit(""Can't read first frame"")
102	        assert image is not None
103	

--------------------------------------------------

Code scanned:
	Total lines of code: 121
	Total lines skipped (#nosec): 0
	Total potential issues skipped due to specifically being disabled (e.g., #nosec BXXX): 0

Run metrics:
	Total issues (by severity):
		Undefined: 0
		Low: 1
		Medium: 0
		High: 0
	Total issues (by confidence):
		Undefined: 0
		Low: 0
		Medium: 0
		High: 1
Files skipped (0):
",No major code quality issues found.,123.0,18.2,5.0,123.5,4.0,0.0,0.0,0.0
25955,opencv,49,734,2,20,0,12.02138888888889,1,True,0,1,True,48,98.46666666666668,,12.01722222222222,1,0.0,"Checking C:\Users\user\AppData\Local\Temp\tmpptzwjaw1.cpp ...

Checking C:\Users\user\AppData\Local\Temp\tmpylmyv818.cpp ...
Checking C:\Users\user\AppData\Local\Temp\tmpylmyv818.cpp: CV__LEGACY_PERSISTENCE...
","No major code quality issues found.
No major code quality issues found.",1688.0,21.4,2.9,187.0,77.0,3.0,0.04,0.23
25952,opencv,45,717,1,39,0,3.386388888888889,1,False,0,1,True,15,133.9,,1.9827777777777775,1,0.0,,No major code quality issues found.,63.0,5.6,1.1,37.3,9.0,0.0,0.0,0.0
25944,opencv,53,570,1,1,1,23.223333333333333,1,True,0,1,True,82,162.1,,22.89,1,0.0,"Checking C:\Users\user\AppData\Local\Temp\tmp2dq4ybhq.cpp ...
Checking C:\Users\user\AppData\Local\Temp\tmp2dq4ybhq.cpp: HAVE_CUDA...
Checking C:\Users\user\AppData\Local\Temp\tmp2dq4ybhq.cpp: HAVE_OPENGL...
",No major code quality issues found.,1711.0,35.5,12.2,272.9,48.0,14.0,0.29,0.66
25942,opencv,35,807,1,1,0,3.523333333333333,1,False,0,1,True,1604,143.4,,2.3422222222222224,1,0.0,"Checking C:\Users\user\AppData\Local\Temp\tmpnr71lv65.cpp ...
Checking C:\Users\user\AppData\Local\Temp\tmpnr71lv65.cpp: HAVE_IPP...
Checking C:\Users\user\AppData\Local\Temp\tmpnr71lv65.cpp: HAVE_OPENCL...
Checking C:\Users\user\AppData\Local\Temp\tmpnr71lv65.cpp: OPENCV_HAVE_FILESYSTEM_SUPPORT...
Checking C:\Users\user\AppData\Local\Temp\tmpnr71lv65.cpp: OPENCV_INSTALL_PREFIX;OPENCV_TEST_DATA_INSTALL_PATH...
Checking C:\Users\user\AppData\Local\Temp\tmpnr71lv65.cpp: OPENCV_TEST_DATA_INSTALL_PATH...
Checking C:\Users\user\AppData\Local\Temp\tmpnr71lv65.cpp: WINCE;_WIN32...
Checking C:\Users\user\AppData\Local\Temp\tmpnr71lv65.cpp: WINCE;_WIN32;WINRT...
Checking C:\Users\user\AppData\Local\Temp\tmpnr71lv65.cpp: WINRT...
Checking C:\Users\user\AppData\Local\Temp\tmpnr71lv65.cpp: _DEBUG...
Checking C:\Users\user\AppData\Local\Temp\tmpnr71lv65.cpp: _MSC_VER...
Checking C:\Users\user\AppData\Local\Temp\tmpnr71lv65.cpp: _MSC_VER;_WIN32...
",No major code quality issues found.,818.0,14.7,4.5,99.3,52.0,4.0,0.08,0.22
25940,opencv,54,732,1,15,0,130.55055555555555,1,False,1,1,True,48,98.33333333333331,,128.93333333333334,1,-0.1555555555555555,"Run started:2024-08-23 01:44:07.983098

Test results:
>> Issue: [B101:assert_used] Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
   Severity: Low   Confidence: High
   CWE: CWE-703 (https://cwe.mitre.org/data/definitions/703.html)
   More Info: https://bandit.readthedocs.io/en/1.7.9/plugins/b101_assert_used.html
   Location: C:\Users\user\AppData\Local\Temp\tmpmbwyjpse.py:607:12
606	        for arg_decl in decl[3]:
607	            assert len(arg_decl) == 4, \
608	                'ArgInfo contract is violated. Arg declaration should contain:' \
609	                '""arg_type"", ""name"", ""default_value"", ""modifiers"". '\
610	                'Got tuple: {}'.format(arg_decl)
611	

--------------------------------------------------
>> Issue: [B101:assert_used] Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
   Severity: Low   Confidence: High
   CWE: CWE-703 (https://cwe.mitre.org/data/definitions/703.html)
   More Info: https://bandit.readthedocs.io/en/1.7.9/plugins/b101_assert_used.html
   Location: C:\Users\user\AppData\Local\Temp\tmpmbwyjpse.py:672:8
671	        argument_names = tuple(arg.name for arg in arguments)
672	        assert len(set(argument_names)) == len(argument_names), \
673	            ""Duplicate arguments with names '{}' in function '{}'. ""\
674	            ""Please, check named arguments used in function interface"".format(
675	                argument_names, self.name
676	            )
677	

--------------------------------------------------
>> Issue: [B101:assert_used] Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
   Severity: Low   Confidence: High
   CWE: CWE-703 (https://cwe.mitre.org/data/definitions/703.html)
   More Info: https://bandit.readthedocs.io/en/1.7.9/plugins/b101_assert_used.html
   Location: C:\Users\user\AppData\Local\Temp\tmpmbwyjpse.py:683:12
682	                continue
683	            assert a.tp not in forbidden_arg_types, \
684	                'Forbidden type ""{}"" for argument ""{}"" in ""{}"" (""{}"")'.format(
685	                    a.tp, a.name, self.name, self.classname
686	                )
687	

--------------------------------------------------
>> Issue: [B101:assert_used] Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
   Severity: Low   Confidence: High
   CWE: CWE-703 (https://cwe.mitre.org/data/definitions/703.html)
   More Info: https://bandit.readthedocs.io/en/1.7.9/plugins/b101_assert_used.html
   Location: C:\Users\user\AppData\Local\Temp\tmpmbwyjpse.py:721:12
720	        elif self.isconstructor:
721	            assert outlist == []
722	            outlist = [(""self"", -1)]

--------------------------------------------------
>> Issue: [B101:assert_used] Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
   Severity: Low   Confidence: High
   CWE: CWE-703 (https://cwe.mitre.org/data/definitions/703.html)
   More Info: https://bandit.readthedocs.io/en/1.7.9/plugins/b101_assert_used.html
   Location: C:\Users\user\AppData\Local\Temp\tmpmbwyjpse.py:893:20
892	                        defval = ""0""
893	                    assert defval
894	                    if not code_args.endswith(""(""):

--------------------------------------------------
>> Issue: [B101:assert_used] Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
   Severity: Low   Confidence: High
   CWE: CWE-703 (https://cwe.mitre.org/data/definitions/703.html)
   More Info: https://bandit.readthedocs.io/en/1.7.9/plugins/b101_assert_used.html
   Location: C:\Users\user\AppData\Local\Temp\tmpmbwyjpse.py:919:24
918	                        arg_type_info = ArgTypeInfo(cname_of_value, FormatStrings.object, defval0, True)
919	                        assert not (a.is_smart_ptr and tp_classinfo.issimple), ""Can't pass 'simple' type as Ptr<>""
920	                        if not a.is_smart_ptr and not tp_classinfo.issimple:

--------------------------------------------------
>> Issue: [B101:assert_used] Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
   Severity: Low   Confidence: High
   CWE: CWE-703 (https://cwe.mitre.org/data/definitions/703.html)
   More Info: https://bandit.readthedocs.io/en/1.7.9/plugins/b101_assert_used.html
   Location: C:\Users\user\AppData\Local\Temp\tmpmbwyjpse.py:921:28
920	                        if not a.is_smart_ptr and not tp_classinfo.issimple:
921	                            assert amp == ''
922	                            amp = '*'

--------------------------------------------------

Code scanned:
	Total lines of code: 1152
	Total lines skipped (#nosec): 0
	Total potential issues skipped due to specifically being disabled (e.g., #nosec BXXX): 0

Run metrics:
	Total issues (by severity):
		Undefined: 0
		Low: 7
		Medium: 0
		High: 0
	Total issues (by confidence):
		Undefined: 0
		Low: 0
		Medium: 0
		High: 7
Files skipped (0):
",No major code quality issues found.,1151.0,16.1,5.3,128.0,56.0,4.0,0.07,0.5
25938,opencv,46,873,2,33,19,116.81166666666668,3,True,2,1,True,82,161.96666666666667,,99.02916666666668,1,0.5681818181818181,"Checking C:\Users\user\AppData\Local\Temp\tmpdymvb9t4.cpp ...

Checking C:\Users\user\AppData\Local\Temp\tmpia_b9t88.cpp ...
","No major code quality issues found.
No major code quality issues found.",674.0,24.5,3.3,264.8,26.0,0.0,0.0,0.0
25927,opencv,63,821,1,1,0,15.355,1,False,1,1,True,2,129.53333333333333,,6.6225,1,0.0,"Run started:2024-08-23 01:44:50.783141

Test results:
>> Issue: [B101:assert_used] Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
   Severity: Low   Confidence: High
   CWE: CWE-703 (https://cwe.mitre.org/data/definitions/703.html)
   More Info: https://bandit.readthedocs.io/en/1.7.9/plugins/b101_assert_used.html
   Location: C:\Users\user\AppData\Local\Temp\tmpp1ie1a55.py:1302:16
1301	                target = consts_map[v]
1302	                assert target.value != v
1303	                return const_value(target.value)

--------------------------------------------------
>> Issue: [B101:assert_used] Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
   Severity: Low   Confidence: High
   CWE: CWE-703 (https://cwe.mitre.org/data/definitions/703.html)
   More Info: https://bandit.readthedocs.io/en/1.7.9/plugins/b101_assert_used.html
   Location: C:\Users\user\AppData\Local\Temp\tmpp1ie1a55.py:1619:34
1618	
1619	    ROOT_DIR = config['rootdir']; assert os.path.exists(ROOT_DIR)
1620	    if 'objc_build_dir' in config:

--------------------------------------------------
>> Issue: [B101:assert_used] Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
   Severity: Low   Confidence: High
   CWE: CWE-703 (https://cwe.mitre.org/data/definitions/703.html)
   More Info: https://bandit.readthedocs.io/en/1.7.9/plugins/b101_assert_used.html
   Location: C:\Users\user\AppData\Local\Temp\tmpp1ie1a55.py:1622:8
1621	        objc_build_dir = config['objc_build_dir']
1622	        assert os.path.exists(objc_build_dir), objc_build_dir
1623	    else:

--------------------------------------------------

Code scanned:
	Total lines of code: 1464
	Total lines skipped (#nosec): 0
	Total potential issues skipped due to specifically being disabled (e.g., #nosec BXXX): 0

Run metrics:
	Total issues (by severity):
		Undefined: 0
		Low: 3
		Medium: 0
		High: 0
	Total issues (by confidence):
		Undefined: 0
		Low: 0
		Medium: 0
		High: 3
Files skipped (0):
",No major code quality issues found.,1459.0,14.0,6.0,137.9,84.0,5.0,0.06,0.34
25917,opencv,33,1042,2,13,1,31.08055555555556,3,True,5,3,True,21,69.2,,6.75611111111111,2,0.2479166666666666,"Checking C:\Users\user\AppData\Local\Temp\tmpnte9enfc.cpp ...
Checking C:\Users\user\AppData\Local\Temp\tmpnte9enfc.cpp: HAVE_PROTOBUF...
Checking C:\Users\user\AppData\Local\Temp\tmpnte9enfc.cpp: HAVE_PROTOBUF;_MSC_VER...
Checking C:\Users\user\AppData\Local\Temp\tmpnte9enfc.cpp: HAVE_PROTOBUF;__GNUC__...

Checking C:\Users\user\AppData\Local\Temp\tmpi8dmtnem.cpp ...
Checking C:\Users\user\AppData\Local\Temp\tmpi8dmtnem.cpp: HAVE_OPENCL;OPENCV_32BIT_CONFIGURATION...
Checking C:\Users\user\AppData\Local\Temp\tmpi8dmtnem.cpp: HAVE_OPENCL;OPENCV_32BIT_CONFIGURATION;_WIN32...
Checking C:\Users\user\AppData\Local\Temp\tmpi8dmtnem.cpp: INF_ENGINE_RELEASE...
","No major code quality issues found.
No major code quality issues found.",2461.0,9.0,3.4,57.6,269.0,10.0,0.04,0.17
25913,opencv,58,778,1,3,3,16.269166666666667,1,False,0,1,True,1604,143.16666666666666,,11.994444444444444,1,0.0,"Checking C:\Users\user\AppData\Local\Temp\tmpdqgq2581.cpp ...
Checking C:\Users\user\AppData\Local\Temp\tmpdqgq2581.cpp: CV_DETECTORS_CHESSBOARD_DEBUG...
",No major code quality issues found.,3448.0,24.8,6.3,206.1,138.0,20.0,0.14,0.41
25908,opencv,55,976,1,1,1,,1,False,5,3,False,0,5.966666666666667,,59.80861111111111,0,0.0,"Checking C:\Users\user\AppData\Local\Temp\tmpkaxzf9l8.cpp ...
Checking C:\Users\user\AppData\Local\Temp\tmpkaxzf9l8.cpp: CV_DETECTORS_CHESSBOARD_DEBUG...
",No major code quality issues found.,3448.0,24.8,6.3,206.1,138.0,20.0,0.14,0.41
25906,opencv,56,779,2,24,24,,2,False,4,0,False,5,127.53333333333332,,0.0,0,-0.5942307692307692,"Checking C:\Users\user\AppData\Local\Temp\tmphy3y0pi4.cpp ...

Checking C:\Users\user\AppData\Local\Temp\tmp_e537xij.cpp ...
Checking C:\Users\user\AppData\Local\Temp\tmp_e537xij.cpp: GENERATE_TEST_DATA...
","No major code quality issues found.
No major code quality issues found.",392.0,14.9,1.9,112.6,26.0,0.0,0.0,0.0
